id,name,popularity,followers,genres,url
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,73,4524470,"trance, progressive trance, progressive house, electronica, edm",https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5
0NGAZxHanS9e0iNHpR8f2W,Alok,75,11247570,"brazilian bass, electronic, slap house, electro house",https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,62,2395332,"indie rock, baroque pop",https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB
4SsVbpTthjScTS7U2hmr1X,Arcángel,82,17750796,"reggaeton, trap latino, urbano latino",https://open.spotify.com/artist/4SsVbpTthjScTS7U2hmr1X
35U9lQaRWSQISxQAB94Meo,America,69,2054364,"yacht rock, soft rock, folk rock",https://open.spotify.com/artist/35U9lQaRWSQISxQAB94Meo
3XHO7cRUPCLOr6jwp8vsx5,alt-J,67,3421488,"indie, indie rock",https://open.spotify.com/artist/3XHO7cRUPCLOr6jwp8vsx5
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,73,5539608,"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul",https://open.spotify.com/artist/3ZpEKRjHaHANcpk10u6Ntq
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,74,12804461,,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,81,26437689,"bachata, latin",https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,79,4082527,"bollywood, hindi pop, desi",https://open.spotify.com/artist/2fMqTqiTxUDlmcOEPaQSsx
4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,74,5878461,"classical, requiem, opera, classical piano, chamber music",https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",73,5048744,"funk, disco",https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg
57nPqD7z62gDdq37US9XJR,Arcane,75,764148,,https://open.spotify.com/artist/57nPqD7z62gDdq37US9XJR
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,80,20216948,"bollywood, hindi pop, desi",https://open.spotify.com/artist/3gBKY0y3dFFVRqicLnVZYz
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,80,70169578,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi",https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG
6U1dV7aL68N7Gb0Naq34V5,REI AMI,87,269764,,https://open.spotify.com/artist/6U1dV7aL68N7Gb0Naq34V5
23zg3TcAtWQy7J6upgbUnj,USHER,80,13682105,r&b,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,90,118136424,,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
10FkbDQFjWJJBZQ7EEpt8Q,Â,9,369,"drum and bass, bassline",https://open.spotify.com/artist/10FkbDQFjWJJBZQ7EEpt8Q
3HBxYEtI2i43MzWyTXupVv,A,27,19244,nu metal,https://open.spotify.com/artist/3HBxYEtI2i43MzWyTXupVv
2GAOjeyjFNsuz1RNpqIOuj,a,8,215,,https://open.spotify.com/artist/2GAOjeyjFNsuz1RNpqIOuj
30HzuIZwrC6DkcGkAPpxAH,a,3,167,minimal techno,https://open.spotify.com/artist/30HzuIZwrC6DkcGkAPpxAH
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,76,6607838,"metalcore, emo, screamo, rock, post-hardcore",https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF
4q3ewBCX7sLwd24euuV69X,Bad Bunny,95,101842517,"reggaeton, trap latino, urbano latino, latin",https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X
2xvtxDNInKDV4AvGmjw6d1,Bladee,66,620886,"cloud rap, hyperpop",https://open.spotify.com/artist/2xvtxDNInKDV4AvGmjw6d1
3Nrfpe0tUJi4K4DXYWgMUX,BTS,85,81023247,k-pop,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,76,2649577,,https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz
2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,69,289540,stutter house,https://open.spotify.com/artist/2CpLIMBoE2ZzyY3ZBCRZ7j
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,79,10527334,"trap soul, r&b",https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs
3Ri4H12KFyu98LMjSoij5V,Bad Omens,73,1946784,metalcore,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V
7a0XAaPaK2aDSqa8p3QnC7,Beéle,87,3071735,"latin afrobeats, reggaeton, pop urbano",https://open.spotify.com/artist/7a0XAaPaK2aDSqa8p3QnC7
1SIocsqdEefUTE6XKGUiVS,BABYMONSTER,72,5717031,k-pop,https://open.spotify.com/artist/1SIocsqdEefUTE6XKGUiVS
2yJwXpWAQOOl5XFzbCxLs9,Bad Religion,59,1380669,"punk, skate punk, hardcore punk, melodic hardcore, ska punk",https://open.spotify.com/artist/2yJwXpWAQOOl5XFzbCxLs9
6FBDaR13swtiWwGhX1WQsP,blink-182,75,9257155,"pop punk, punk, rock, skate punk, emo",https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP
4M1fxLs3K8DkyCaTEpdfo0,Blue Rodeo,49,141484,"country rock, alt country",https://open.spotify.com/artist/4M1fxLs3K8DkyCaTEpdfo0
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,69,1312565,,https://open.spotify.com/artist/5QdyldG4Fl4TPiOIeMNpBZ
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,75,3933543,,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ
6LEeAFiJF8OuPx747e1wxR,Blood Orange,71,1324889,art pop,https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,79,2025275,southern hip hop,https://open.spotify.com/artist/6qxpnaukVayrQn6ViNvu9I
08yf5A2nS4XEeNvabDXqyg,Billy Talent,62,1331545,punk,https://open.spotify.com/artist/08yf5A2nS4XEeNvabDXqyg
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,82,30639739,"classic rock, psychedelic rock",https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
3wcj11K77LjEY1PkEazffa,Burna Boy,79,13908950,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano",https://open.spotify.com/artist/3wcj11K77LjEY1PkEazffa
74ASZWbe4lXaubB36ztrGX,Bob Dylan,73,7344226,"folk rock, folk, singer-songwriter, roots rock, country rock",https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX
6vWDO969PvNqNYHIOW5v0m,Beyoncé,84,41088264,,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,81,55923277,k-pop,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,75,9718905,"metal, heavy metal, rock, stoner rock, doom metal, hard rock",https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,78,7359225,soft rock,https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,80,7858433,r&b,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG
3O96LSvlQrNeKpZ8FuZkEk,BK,50,72728,"punjabi hip hop, punjabi pop, bhangra",https://open.spotify.com/artist/3O96LSvlQrNeKpZ8FuZkEk
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,75,7272869,,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,78,13335503,"reggae, roots reggae",https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,89,75141936,,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
22wbnEMDvgVIAGdFeek6ET,Benson Boone,83,6955176,,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,75,12693036,"old school hip hop, gangster rap, east coast hip hop, hip hop",https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,78,6459950,bedroom pop,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,75,4746290,,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc
58lV9VcRSjABbAbfWS6skp,Bon Jovi,77,15726866,"glam metal, rock",https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp
26dSoYclwsYLMAKD3tpOr4,Britney Spears,80,17651329,pop,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,81,9489914,,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,75,2028779,country,https://open.spotify.com/artist/3win9vGIxFfBRag9S63wwf
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,76,6679986,,https://open.spotify.com/artist/5rSXSAkZ67PYJSvpUpkOr7
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,75,9816431,,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
7nixcnKd43u9a29ZMawfnh,Background White Noise,79,3027,,https://open.spotify.com/artist/7nixcnKd43u9a29ZMawfnh
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,76,11726139,"glam rock, art rock",https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,70,3323817,"country, classic country, acoustic country, honky tonk",https://open.spotify.com/artist/0XKOBt59crntr7HQXXO8Yz
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,87,28122583,r&b,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,91,84777423,,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
48zEowASEXWsK6lgP1xotZ,Baby Sleeps,80,6478,,https://open.spotify.com/artist/48zEowASEXWsK6lgP1xotZ
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,85,7267702,"country, red dirt",https://open.spotify.com/artist/40ZNYROS4zLfyyBSs2PGe2
5v2WhpA59TJSdPh7LCx1lN,BONES,71,1951348,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop",https://open.spotify.com/artist/5v2WhpA59TJSdPh7LCx1lN
1bdnGJxkbIIys5Jhk1T74v,Brandon Lake,74,1489241,"worship, christian, ccm",https://open.spotify.com/artist/1bdnGJxkbIIys5Jhk1T74v
6veh5zbFpm31XsPdjBgPER,BIA,63,622286,,https://open.spotify.com/artist/6veh5zbFpm31XsPdjBgPER
7w29UYBi0qsHi5RTcv3lmA,Björk,63,2433355,"art pop, trip hop",https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA
557SGrCJ59ysjCE1xjVZbS,Big Wreck,45,130431,post-grunge,https://open.spotify.com/artist/557SGrCJ59ysjCE1xjVZbS
03r4iKL2g2442PT9n2UKsx,Beastie Boys,67,3151826,"rap rock, old school hip hop, east coast hip hop, hip hop",https://open.spotify.com/artist/03r4iKL2g2442PT9n2UKsx
5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,71,5137535,"alternative metal, post-grunge, rock, hard rock",https://open.spotify.com/artist/5BtHciL0e0zOP7prIHn3pP
1J1pGfTqp5ReVIX8Z1Wzsg,BabyChiefDoit,66,457993,chicago drill,https://open.spotify.com/artist/1J1pGfTqp5ReVIX8Z1Wzsg
0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies,57,847144,,https://open.spotify.com/artist/0dEvJpkqhrcn64d3oI8v79
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,81,8584831,"reggaeton, urbano latino",https://open.spotify.com/artist/1TA5sGRlKUJXBN4ZyJuDIX
56ZTgzPBDge0OvCGgMO3OY,Beach House,71,2785160,dream pop,https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY
69Lg4McXyOIjgODP8I3l10,Bob Bissonnette,43,53324,"chanson québécoise, rock quebecois, folk québécois, pop québécoise",https://open.spotify.com/artist/69Lg4McXyOIjgODP8I3l10
3OiQ1K5uuHHAjM9yd3Y0rn,Beyries,38,32234,"chanson québécoise, indie québécois, pop québécoise",https://open.spotify.com/artist/3OiQ1K5uuHHAjM9yd3Y0rn
2cFrymmkijnjDg9SS92EPM,blackbear,71,5065220,,https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM
0c173mlxpT3dSFRgMO8XPh,Big Sean,74,11531889,,https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh
1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,71,1995509,"soul, classic soul, motown",https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj
2GPLowDuIzf10Ju8mFunge,Brainy,74,96036,,https://open.spotify.com/artist/2GPLowDuIzf10Ju8mFunge
5SXuuuRpukkTvsLuUknva1,Baby Keem,71,3111086,,https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1
2OFij1ppCwYFCOTq7vzafi,bees & honey,73,42387,,https://open.spotify.com/artist/2OFij1ppCwYFCOTq7vzafi
58wXmynHaAWI5hwlPZP3qL,Booba,71,3657651,"french rap, french r&b, pop urbaine",https://open.spotify.com/artist/58wXmynHaAWI5hwlPZP3qL
5CiGnKThu5ctn9pBxv7DGa,benny blanco,73,1611067,,https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa
485uL27bPomh29R4JmQehQ,Bob Seger,67,2868194,classic rock,https://open.spotify.com/artist/485uL27bPomh29R4JmQehQ
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,69,4135393,"blues rock, garage rock, modern blues, rock",https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,70,5071860,baroque pop,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,69,7497034,country,https://open.spotify.com/artist/1UTPBmNbXNTittyMJrNkvw
5ndkK3dpZLKtBklKjxNQwT,B.o.B,74,2252638,,https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT
